UniqID,Name,TextParagraph,Prominence
1574,Speech Pathology Australia," this report would not have happened if it had not been for the particular work of speech pathology australia, who were so dedicated in working with and briefing the community affairs references committee on the issues that need to be looked at, and their dedication and concern for speech pathology services in australia. i bet you many australians just do not appreciate what speech pathology entails in this country and why it is so important. through the committee process it has become an extremely apparent that speech pathology and communication and language disorders are absolutely critical to people's life outcomes—absolutely critical. i see this report as probably the matching pair to the report that the committee did on hearing services in australia. our report on hearing services highlighted the impact hearing impairment as deafness has on people's life outcomes, as do a person's ability to communicate verbally. it is absolutely fundamental to a person's development and wellbeing. the committee report makes 10 recommendations. but before i start on outlining some of those recommendations and our findings, i want to make sure that i have time to acknowledge the work that speech pathology australia has put into this inquiry and thank the many professionals in the speech pathology area that we spoke to, parents, older people and people suffering from aphasia who contributed, making sure that we had full access to information. i also want to thank those people who hosted us on various site visits, and i will come to that in a minute. i also protect the want to point out the committee secretariat, who, as per usual and once again went above and beyond the call of duty. in particular, our secretary, janet radcliffe, and also richard grant, who have done us proud in the work they have produced from the wealth very good quality submissions that we received, from people's personal experiences, and from the hansard evidence—pulling out what were the main issues. ",4
1634,The Financial Services Council, the member for robertson spoke of comments made by the financial services council. i would like to refer to another observation made by the financial services council. they had this to say:,3
600,Australian Republican Movement," as the member for wentworth pointed out earlier, neville wran was a founding member of the australian republican movement and a proud advocate for an australian becoming our head of state. he understood the value of one of us being appointed as our head of state and the value that that would bring to australian society and australia's future. he worked hard as a founding member of the australian republican movement and was a generous donor to the cause of an australian republic.",1
1445,Ports Australia, (1) notes that on thursday 6 august 2015 hutchison ports australia terminated 97 of its workers via text message and email late at night;,666
1262,Medicines Australia,"currently the pbs costs about $9 billion in the 2010-11 year and it is estimated that it will cost us $13 billion by 2018. so the taxpayer is the winner from the mou which has been agreed to with medicines australia, which represents over 50 companies. about 86 per cent of total annual pbs expenditure goes to companies which produce drugs through medicines australia. we are talking about nearly 60 per cent of sales of off-patent medicines as well. so i thank medicines australia for their willingness to ensure price certainty and the reductions that will benefit not just the taxpayers of australia but also the pensioners and concession card holders who really need access to the kinds of drugs that will make their lives better.",4
1010,Family First," (herbert) (12:04): i only met david francis jull on the one occasion, and that was in the last few months when david knew he was dying. the mark of the man was he sat there, shook my hand—and his grasp was firm—looked me in the eye and wished me well. my association with david jull goes back an awfully long time. when my family first moved to brisbane in 1974, jully was the sports reporter on channel 0 news. the beauty of those days in tv was that you did not have to be good-looking, which was very handy for jully. you could quite often see, in the corner of the tv, the smoke drifting up from the ashtray. david jull used to read the news with brian cahill, who was a teacher at gregory terrace—his daughter, in fact, works for the member for ryan here in parliament. the camera was supposed to come back to jully to do the sport but it came back to brian cahill, who was sucking on a black and white in full screen.",666
1334,National Farmers' Federation," this is the 25th anniversary of the landcare movement in australia and i congratulate all the landcare organisations around the country. it has been said that for every dollar put in by the government, $2.60 is put in by individuals and organisations locally and $12 of in-kind assistance is also given. the 25th anniversary of landcare's formation is something to be cherished and honoured. i congratulate the australian conservation foundation and the national farmers' federation for the longstanding support and the initiation of this organisation. they have been behind it from the word go. the chairman of landcare queensland, mr geoff penton, said:",4
310,Australian Diagnostic Imaging Association," when we learn about this gp tax, we learn more about the hidden costs of this gp tax—and the more we learn, the worse it gets. this will probably be useful for our prime minister if someone could send this transcript to him—he did not have a clue about diagnostic imaging today. medicare provides around 23 million diagnostic imaging and pathology services. the australian diagnostic imaging association estimates that the gp tax will reduce funding to these services by $188 million in 2015-16—it is a 10 per cent cut, prime minister—and rebates for general patients who were previously bulk-billed for pathology tests and imaging due to the abolition of the bulk-billing incentive from 1 july next year. the abolition of the greatest permissible gap safety net, a safety net which moderates the cost of high cost items, has gone too. ",3
1277,Mission Australia," today i would like to take some time to raise awareness of an issue that affects far too many young australians: the issue of negative body image. body image—and, more specifically, negative body image—is indiscriminate. it can affect individuals of any age, gender, size or ethnicity. a recent study by mission australia showed that body image is more of a concern for people aged 20 to 24, with 28.7 per cent indicating concern, than for those aged 15 to 19, with 27.4 per cent indicating concern. children aged between 11 and 14 are also worried about their body image, with 23.7 per cent indicating that it is of concern to them. that is an excellent point on this issue and i would encourage all parents to explain to their children that health should come before appearance and that a healthy lifestyle is much more important than a fashionable outward appearance. the fact that body image is an issue that concerns so many of our australian youth is reason enough for me to believe that it should concern not only me and others in this chamber but the community as a whole. these young people are the future of our nation. they are the individuals who will one day stand in this chamber, and i feel it is our responsibility to ensure they have the best possible start in life, not a start that includes self-doubt, self-dissatisfaction or uncertainty about their self-worth. at present, there is a conflicting message for young people about what a healthy body image is, and mission australia's manager of research, anne hampshire, summed this up well by stating:",3
1334,National Farmers' Federation, the national farmers' federation has said that it has deep concerns about the potential for this bill to be extended to agriculture in the future. in particular they say:,3
