uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,isic1_2,isic2_1,isic2_2,isic3_1,isic3_2,cat1_1,cat1_2,cat_2_1,cat2_2,cat3_1,cat3_2,_merge,citizen_dummy,type_4cat,interestgroup
1,Abacus - Australian Mutuals,2,3,1992,2,1100,65,,,,,200,204,,,,,3,0,2,1
11,ActionAid Australia,1,22,2009,2,,,,,,,1900,1901,,,,,3,1,1,1
11,ActionAid Australia,1,22,2009,2,,,,,,,1900,1901,,,,,3,1,1,1
11,ActionAid Australia,1,22,2009,2,,,,,,,1900,1901,,,,,3,1,1,1
11,ActionAid Australia,1,22,2009,2,,,,,,,1900,1901,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
13,Adult Learning Australia,1,1,1960,8,,,,,,,600,602,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
14,Adults Surviving Child Abuse,6,2,1995,2,,,,,,,1900,1903,,,,,3,1,1,1
19,AFL Players' Association,4,18,1974,8,1800,93,,,,,300,303,2000,,,,3,0,4,1
19,AFL Players' Association,4,18,1974,8,1800,93,,,,,300,303,2000,,,,3,0,4,1
19,AFL Players' Association,4,18,1974,8,1800,93,,,,,300,303,2000,,,,3,0,4,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
23,Aftercare,6,44,1907,2,,,,,,,1800,1801,,,,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
24,Aged and Community Services Australia,1,2,1975,8,,,,,,,1900,1903,1800,1801,1400,,3,1,1,1
33,Aircraft Owners and Pilots Association of Australia,4,1.5,1949,2,800,51,,,,,300,303,,,,,3,0,4,1
33,Aircraft Owners and Pilots Association of Australia,4,1.5,1949,2,800,51,,,,,300,303,,,,,3,0,4,1
33,Aircraft Owners and Pilots Association of Australia,4,1.5,1949,2,800,51,,,,,300,303,,,,,3,0,4,1
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
36,Alcohol and Other Drugs Council of Australia,,,,,,,,,,,,,,,,,1,999,999,0
43,Alzheimer's Australia,7,411,1985,1,,,,,,,1800,1802,,,,,3,1,1,1
43,Alzheimer's Australia,7,411,1985,1,,,,,,,1800,1802,,,,,3,1,1,1
43,Alzheimer's Australia,7,411,1985,1,,,,,,,1800,1802,,,,,3,1,1,1
46,American Chamber of Commerce in Australia,2,20,1961,2,1900,941,,,,,200,205,,,,,3,0,2,1
46,American Chamber of Commerce in Australia,2,20,1961,2,1900,941,,,,,200,205,,,,,3,0,2,1
46,American Chamber of Commerce in Australia,2,20,1961,2,1900,941,,,,,200,205,,,,,3,0,2,1
53,Animal Health Alliance,2,2,2006,1,1300,75,,,,,200,204,,,,,3,0,2,1
53,Animal Health Alliance,2,2,2006,1,1300,75,,,,,200,204,,,,,3,0,2,1
53,Animal Health Alliance,2,2,2006,1,1300,75,,,,,200,204,,,,,3,0,2,1
53,Animal Health Alliance,2,2,2006,1,1300,75,,,,,200,204,,,,,3,0,2,1
53,Animal Health Alliance,2,2,2006,1,1300,75,,,,,200,204,,,,,3,0,2,1
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
54,Animal Justice Party,,,,,,,,,,,,,,,,,1,999,999,0
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
56,Animals Australia,1,13,1980,8,,,,,,,1100,1103,,,,,3,1,1,1
